機關代碼,全名,OID,網址,
"100000000A","國民大會","2.16.886.101.20001","http://www.na.gov.tw/index.jsp",
"200000000A","總統府","2.16.886.101.20002","http://www.president.gov.tw",
"201000000A","中央研究院","2.16.886.101.20002.20001","http://www.sinica.edu.tw/",
"202000000A","國史館","2.16.886.101.20002.20002","http://www.drnh.gov.tw",
"202010000A","國史館臺灣文獻館","2.16.886.101.20002.20002.20001","http://www.th.gov.tw/",
"A00000000A","行政院","2.16.886.101.20003","http://www.ey.gov.tw/",
"301000000A","內政部","2.16.886.101.20003.20001","http://www.moi.gov.tw",
"A03000000B","外交部","2.16.886.101.20003.20002","http://www.mofa.gov.tw/",
"A05000000C","國防部","2.16.886.101.20003.20003","http://www.mnd.gov.tw/",
"A07000000D","財政部","2.16.886.101.20003.20004","http://www.mof.gov.tw/",
"A09000000E","教育部","2.16.886.101.20003.20005","www.edu.tw",
"A11000000F","法務部","2.16.886.101.20003.20006","http://www.moj.gov.tw/mp.asp?mp=001",
"313000000G","經濟部","2.16.886.101.20003.20007","http://www.moea.gov.tw/",
"315000000H","交通部","2.16.886.101.20003.20008","http://www.motc.gov.tw/ch/index.jsp",
"A49000000B","僑務委員會","2.16.886.101.20003.20010","www.ocac.gov.tw",
"A51000000A","國軍退除役官兵輔導委員會","2.16.886.101.20003.20016","http://www.vac.gov.tw",
"A60000000E","國立故宮博物院","2.16.886.101.20003.20018","http://www.npm.gov.tw/",
"337000000G","行政院原子能委員會","2.16.886.101.20003.20019","http://www.aec.gov.tw/",
"345000000G","行政院農業委員會","2.16.886.101.20003.20024","http://www.coa.gov.tw/",
"A59000000N","中央銀行","2.16.886.101.20003.20025","http://www.cbc.gov.tw/",
"A61000000A","中央選舉委員會","2.16.886.101.20003.20026","http://www.cec.gov.tw/",
"355000000I","行政院環境保護署","2.16.886.101.20003.20031","http://www.epa.gov.tw/",
"357000000A","大陸委員會","2.16.886.101.20003.20033","http://www.mac.gov.tw/",
"A62000000G","公平交易委員會","2.16.886.101.20003.20034","http://www.ftc.gov.tw/",
"360000000G","行政院公共工程委員會","2.16.886.101.20003.20035","http://www.pcc.gov.tw/",
"A53000000A","原住民族委員會","2.16.886.101.20003.20036","http://www.apc.gov.tw/",
"371000000A","福建省政府","2.16.886.101.20003.20040","http://www.fkpg.gov.tw/",
"375000000A","臺灣省政府","2.16.886.101.20003.20041","http://www.tpg.gov.tw/",
"386000000A","臺灣省諮議會","2.16.886.101.20003.20042","http://www.tpa.gov.tw",
"A55000000A","客家委員會","2.16.886.101.20003.20043","http://www.hakka.gov.tw",
"A45000000D","金融監督管理委員會","2.16.886.101.20003.20052","http://www.fsc.gov.tw",
"A63000000H","國家通訊傳播委員會","2.16.886.101.20003.20056","http://www.ncc.gov.tw/",
"A17000000J","勞動部","2.16.886.101.20003.20063","http://www.mol.gov.tw/",
"A21000000I","衛生福利部","2.16.886.101.20003.20065","www.mohw.gov.tw",
"A25000000E","文化部","2.16.886.101.20003.20067","http://www.moc.gov.tw/",
"A27000000G","科技部","2.16.886.101.20003.20068","http://www.most.gov.tw/mp.aspx",
"A41000000G","國家發展委員會","2.16.886.101.20003.20069","www.ndc.gov.tw",
"A57000000A","行政院主計總處","2.16.886.101.20003.20071","http://www.dgbas.gov.tw/",
"A58000000A","行政院人事行政總處","2.16.886.101.20003.20072","http://www.dgpa.gov.tw",
"400000000A","立法院","2.16.886.101.20004","www.ly.gov.tw",
"500000000F","司法院","2.16.886.101.20005","http://www.judicial.gov.tw/",
"501010000F","臺北高等行政法院","2.16.886.101.20005.20002","http://tpb.judicial.gov.tw",
"501020000F","臺中高等行政法院","2.16.886.101.20005.20003","http://tcb.judicial.gov.tw",
"501030000F","高雄高等行政法院","2.16.886.101.20005.20004","http://ksb.judicial.gov.tw",
"501050000F","最高行政法院","2.16.886.101.20005.20005","http://tpa.judicial.gov.tw",
"502000000F","公務員懲戒委員會","2.16.886.101.20005.20006","http://tpp.judicial.gov.tw",
"503000000F","最高法院","2.16.886.101.20005.20007","http://tps.judicial.gov.tw",
"504000000F","臺灣高等法院","2.16.886.101.20005.20008","http://tph.judicial.gov.tw",
"506020000F","福建連江地方法院","2.16.886.101.20005.20032","http://lcd.judicial.gov.tw",
"506000000F","福建高等法院金門分院","2.16.886.101.20005.20033","http://kmh.judicial.gov.tw",
"600000000A","考試院","2.16.886.101.20006","http://www.exam.gov.tw/",
"601000000A","考選部","2.16.886.101.20006.20001","http://www.moex.gov.tw/",
"602000000A","銓敘部","2.16.886.101.20006.20002","http://www.mocs.gov.tw/",
"603000000A","公務人員退休撫卹基金監理委員會","2.16.886.101.20006.20003","http://www.fund.gov.tw",
"604000000A","公務人員保障暨培訓委員會","2.16.886.101.20006.20004","http://www.csptc.gov.tw/",
"700000000A","監察院","2.16.886.101.20007","http://www.cy.gov.tw",
"701000000A","審計部","2.16.886.101.20007.20001","http://www.audit.gov.tw/",
"376870000A","基隆市議會","2.16.886.101.90001.20001","http://www.kmc.gov.tw/",
"376570000A","基隆市政府","2.16.886.101.90001.20002","http://www.klcg.gov.tw",
"381000000A","臺北市議會","2.16.886.101.90003.20001","http://www.tcc.gov.tw/",
"379000000A","臺北市政府","2.16.886.101.90003.20002","http://www.taipei.gov.tw/",
"376740000A","新竹縣議會","2.16.886.101.90005.20001","http://www.hcc.gov.tw/",
"376440000A","新竹縣政府","2.16.886.101.90005.20002","http://www.hsinchu.gov.tw/",
"376880000A","新竹市議會","2.16.886.101.90006.20001","http://www.hsinchu-cc.gov.tw/",
"376580000A","新竹市政府","2.16.886.101.90006.20002","http://www.hccg.gov.tw/",
"376770000A","彰化縣議會","2.16.886.101.90010.20001","http://www.chcc.gov.tw",
"376470000A","彰化縣政府","2.16.886.101.90010.20002","http://www.chcg.gov.tw",
"376780000A","南投縣議會","2.16.886.101.90011.20001","http://www.ntcc.gov.tw/",
"376480000A","南投縣政府","2.16.886.101.90011.20002","http://www.nantou.gov.tw/",
"376790000A","雲林縣議會","2.16.886.101.90012.20001","http://www.ylcc.gov.tw/",
"376490000A","雲林縣政府","2.16.886.101.90012.20002","http://www.yunlin.gov.tw/",
"376800000A","嘉義縣議會","2.16.886.101.90013.20001","http://www.cyscc.gov.tw/",
"376500000A","嘉義縣政府","2.16.886.101.90013.20002","http://www.cyhg.gov.tw",
"376900000A","嘉義市議會","2.16.886.101.90014.20001","http://www.cycc.gov.tw/",
"376600000A","嘉義市政府","2.16.886.101.90014.20002","http://www.chiayi.gov.tw/",
"376830000A","屏東縣議會","2.16.886.101.90019.20001","http://www.ptcc.gov.tw/",
"376530000A","屏東縣政府","2.16.886.101.90019.20002","http://www.pthg.gov.tw/",
"376720000A","宜蘭縣議會","2.16.886.101.90020.20001","http://www.ilcc.gov.tw",
"376420000A","宜蘭縣政府","2.16.886.101.90020.20002","http://www.e-land.gov.tw/",
"376850000A","花蓮縣議會","2.16.886.101.90021.20001","http://www.hlcc.gov.tw/",
"376550000A","花蓮縣政府","2.16.886.101.90021.20002","http://www.hl.gov.tw/",
"376840000A","臺東縣議會","2.16.886.101.90022.20001","http://www.taitungcc.gov.tw",
"376540000A","臺東縣政府","2.16.886.101.90022.20002","http://www.taitung.gov.tw",
"376860000A","澎湖縣議會","2.16.886.101.90023.20001","http://www.phcouncil.gov.tw/",
"376560000A","澎湖縣政府","2.16.886.101.90023.20002","http://www.penghu.gov.tw/",
"371750000A","金門縣議會","2.16.886.101.90024.20001","http://www.kmcc.gov.tw/",
"371020000A","金門縣政府","2.16.886.101.90024.20002","http://www.kinmen.gov.tw/",
"371760000A","連江縣議會","2.16.886.101.90025.20001","http://www.mtcc.gov.tw/",
"371030000A","福建省連江縣政府","2.16.886.101.90025.20002","http://www.matsu.gov.tw/",
"384000000A","新北市議會","2.16.886.101.90026.20001","www.ntp.gov.tw",
"382000000A","新北市政府","2.16.886.101.90026.20002","http://www.ntpc.gov.tw/ch/index.jsp",
"388000000A","臺中市議會","2.16.886.101.90027.20001","",
"387000000A","臺中市政府","2.16.886.101.90027.20002","http://www.taichung.gov.tw",
"396000000A","臺南市議會","2.16.886.101.90028.20001","www.tncc.gov.tw",
"395000000A","臺南市政府","2.16.886.101.90028.20002","http://www.tainan.gov.tw/",
"398000000A","高雄市議會","2.16.886.101.90029.20001","",
"397000000A","高雄市政府","2.16.886.101.90029.20002","http://www.kcg.gov.tw/",
"389000000A","桃園市議會","2.16.886.101.90030.20001","",
"380000000A","桃園市政府","2.16.886.101.90030.20002","http://www.tycg.gov.tw/",
